siRNA,cluster,df,p.value,comparison,channel,containment_df,fold_change,fold_change_95lcl,fold_change_95ucl,log2_fold_change,log2_fold_change_95lcl,log2_fold_change_95ucl
SBF2 - scrambled,Nucleus (combined),4,0.04943184548126824,unnormalised,04_MAPK1_pT202_T204,NA,1.440740102078891,1.1145123792593146,1.862457591648994,0.5268101084070534,0.156412641179843,0.8972075756342639
SBF2 - scrambled,7,4,0.09563956741837464,unnormalised,04_MAPK1_pT202_T204,NA,1.3281080899171218,1.028038708774424,1.7157633107085082,0.40937256719801624,0.03989458739708415,0.7788505469989482
SBF2 - scrambled,7 - Nucleus (combined),4,0.01973864457371425,relative_to_Nucleus (combined),04_MAPK1_pT202_T204,4,0.9218235044618743,0.8835481144070293,0.9617569881281055,-0.11743754120903716,-0.17861939471559757,-0.056255687702476694
SBF2 - scrambled,Nucleus (combined),4,0.04369186326038098,unnormalised,04_MAPK1_pT202_T204,NA,1.4401225891761764,1.1264233205159864,1.8411844233706631,0.5261916250487317,0.17174910773529956,0.880634142362164
SBF2 - scrambled,16,4,0.055701392284811024,unnormalised,04_MAPK1_pT202_T204,NA,1.4044721754511529,1.0947158046728989,1.8018759601318535,0.4900280429504118,0.1305563854385845,0.8494997004622392
SBF2 - scrambled,16 - Nucleus (combined),4,0.018044456793109828,relative_to_Nucleus (combined),04_MAPK1_pT202_T204,4,0.975244875684217,0.9629318440966809,0.9877153542892189,-0.03616358209832,-0.0544944065418438,-0.017832757654796055
SBF2 - scrambled,Nucleus (combined),4,0.04111363451069001,unnormalised,04_MAPK1_pT202_T204,NA,1.438802988153686,1.1317732096547535,1.829124440356275,0.5248690608258717,0.17858489272268438,0.8711532289290592
SBF2 - scrambled,8,4,0.03683458001945704,unnormalised,04_MAPK1_pT202_T204,NA,1.4577453244127825,1.1471333047476322,1.8524625011343647,0.5437386954537009,0.19803305214149983,0.8894443387659017
SBF2 - scrambled,8 - Nucleus (combined),4,0.06221206873867659,relative_to_Nucleus (combined),04_MAPK1_pT202_T204,4,1.013165343980418,1.0030956156124113,1.0233361588528687,0.018869634627829205,0.004459130970225575,0.033280138285432664
SBF2 - scrambled,Nucleus (combined),4,0.04093954183049131,unnormalised,04_MAPK1_pT202_T204,NA,1.438760604415294,1.1321530502285881,1.8284030382636967,0.5248265618108336,0.17906900223371583,0.8705841213879514
SBF2 - scrambled,1,4,0.0433239762642088,unnormalised,04_MAPK1_pT202_T204,NA,1.422198100451288,1.1225990302226794,1.8017541281200273,0.5081224344601825,0.16684271811502466,0.8494021508053402
SBF2 - scrambled,1 - Nucleus (combined),4,0.04974221447776461,relative_to_Nucleus (combined),04_MAPK1_pT202_T204,4,0.9884883531609229,0.9804564291689171,0.9965860748784513,-0.016704127350651216,-0.028474575452727996,-0.004933679248574459
SBF2 - scrambled,Nucleus (combined),4,0.04715652838881694,unnormalised,04_MAPK1_pT202_T204,NA,1.4395406095194105,1.1189107215499396,1.8520487171531899,0.525608487981504,0.16209492754255087,0.889122048420457
SBF2 - scrambled,18,4,0.04522667126564149,unnormalised,04_MAPK1_pT202_T204,NA,1.442538786859109,1.123717775697011,1.851815639654018,0.5286101104527265,0.1682797448754777,0.8889404760299756
SBF2 - scrambled,18 - Nucleus (combined),4,0.7254975435387553,relative_to_Nucleus (combined),04_MAPK1_pT202_T204,4,1.0020827320326167,0.9912947819017931,1.0129880840404097,0.00300162247122258,-0.012613958617218805,0.018617203559664283
SBF2 - scrambled,Nucleus (combined),4,0.42214456774166287,unnormalised,05_GTF2B,NA,1.0479547644389249,0.945613680884669,1.1613719328624907,0.06757644347065786,-0.08067718669669595,0.2158300736380117
SBF2 - scrambled,17,4,0.3983360570566815,unnormalised,05_GTF2B,NA,0.9470992007827358,0.8460958662757865,1.0601598848030762,-0.07841255094458717,-0.24110695877020977,0.08428185688103523
SBF2 - scrambled,17 - Nucleus (combined),4,2.3689576382861357e-4,relative_to_Nucleus (combined),05_GTF2B,4,0.9037596210460599,0.8895136638837016,0.9182337335518512,-0.14598899441524515,-0.16891132788188645,-0.12306666094860387
