well_name,Intensity_sum_22_SE,Nuclei_Intensity_mean_00_EU,mapobject_id_cell,mapobject_id
K19,7640497.437965189,448.6837873437473,200880,200968
K19,8641158.117043752,464.6318511674429,268704,268810
K19,6662415.412539676,391.674028960386,268706,268812
K19,6958347.116476519,522.35497116525,268707,268813
K19,6353144.703060434,494.489566661486,268708,268814
K19,9952406.668511003,326.3546109410644,268711,268817
K19,9434003.379068606,324.42449347427566,268714,268820
K19,10474160.413073335,215.93348395543853,268715,268821
K19,6683135.953527958,388.63580747161933,268716,268822
K19,7875985.370918913,182.9229540542241,268718,268824
K19,4482415.404531923,155.2591076565517,268719,268825
K19,7147985.412271419,365.9357538340035,268720,268826
K19,7401882.0234113075,191.70044415444852,268721,268827
K19,6636580.721250135,434.16250948600185,268723,268829
K19,7484991.647665446,211.2012670779122,268725,268831
K19,7076138.389233821,215.49149002213105,309532,309562
K19,8458243.555549795,490.017970936537,309533,309563
K19,6668505.145143978,217.27510308263538,309534,309564
K19,9396709.253420398,365.17581492491297,309535,309565
K19,8265573.366102848,348.81821404639936,309536,309566
K19,7524194.996269041,308.2047274588423,309538,309568
K19,6344833.623588554,168.07590501162494,309539,309569
K19,5355073.091833501,293.13636692510545,309540,309570
K19,5970619.681854504,144.34958456752557,309542,309572
K19,5969457.215359035,295.0616585127788,309543,309573
K19,8716262.933414847,319.3257271554521,309544,309574
K19,8593409.986189023,256.98741877595455,309545,309575
K19,13174433.52783496,344.4078690730233,309546,309576
K19,6390945.834988508,264.3529334738278,309548,309578
K19,6400054.586133484,311.86084093622213,309549,309579
K19,6371302.121497289,167.87451973816488,309552,309582
K19,11069203.193147585,373.00757925727805,309553,309583
K19,7907745.734681412,218.2335772385229,309554,309584
K19,6629866.9358988935,235.67734210950047,372331,372392
K19,7229744.905527881,349.5101236311721,372332,372393
K19,6117780.4492069185,374.0193851436586,372333,372394
K19,7750584.90733727,213.40175398794256,372334,372395
K19,6275236.038570634,467.7326399534096,372335,372396
K19,6632736.33003916,335.1038089846725,372338,372399
K19,7446518.864093822,379.0848274674874,372339,372400
K19,8212853.491481796,445.3962639520081,372341,372402
K19,5786218.825306182,382.8580403593787,372342,372403
K19,7685765.549260112,510.5514337213537,372343,372404
K19,6861922.091050846,448.4005581740486,372344,372405
K19,9181187.301897233,435.7483465045276,372345,372406
K19,5430779.3319679,286.9996405665715,372347,372408
K19,5887772.826918943,345.5141566903615,372350,372411
K19,4427007.167639678,321.12233027048717,372352,372413
K19,4666027.367892183,163.43227474381868,372353,372414
K19,4441288.982474338,294.75128219766225,372354,372415
K19,4911041.712800883,344.7201161151138,372355,372416
K19,7219053.491070649,359.20777670276215,372356,372417
K19,6320631.730514665,311.0374035691089,372357,372418
K19,5646551.958008043,131.6578935368895,372358,372419
K19,5519482.997038291,141.92930582860362,372359,372420
K19,6359038.187754946,305.3402566735096,372360,372421
K19,9939305.072219316,374.34140874924157,372361,372422
K19,5800408.173431856,198.9492208898698,372362,372423
K19,4706777.875713023,277.34566039093596,372364,372425
K19,4769408.074701046,195.77435241412525,372365,372426
K19,7649742.743321749,496.535134177782,372366,372427
K19,4492219.6067687515,161.59863537566503,372367,372428
K19,6072889.812768301,208.11809790304736,372368,372429
K19,8842697.502533069,194.13717753572965,372369,372430
K19,4516241.833515684,123.11819195562119,372370,372431
K19,4266618.003656251,283.40163780486773,372372,372433
K19,12365885.701942636,316.8431549150104,372373,372434
K19,6106179.388623092,161.7863719137969,372376,372437
K19,6880693.223130045,363.716614916792,372377,372438
K19,3949273.4288783944,155.94452797633255,372378,372439
K19,7643595.072716246,447.4257479887113,346287,346432
K19,7356618.008742734,230.39385416994213,346288,346433
K19,10712278.185064716,194.81870180064672,346289,346434
K19,7710484.982795905,503.99158808243,346290,346435
K19,6514912.089193632,222.83970636049997,346291,346436
K19,9804490.171136199,568.5031253663903,346292,346437
